,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
108,1,2015-01-26 12:41:14,2015-01-26 12:52:40,1,1.9,-73.98925018310547,40.74198532104492,1,N,-74.0025863647461,40.76076889038086,1,10.0,0.0,0.5,2.7,0.0,0.3,13.5
109,1,2015-01-26 12:41:14,2015-01-26 12:48:18,1,1.0,-73.9873504638672,40.74944686889648,1,N,-74.00407409667967,40.75583267211913,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
110,1,2015-01-26 12:41:15,2015-01-26 12:59:22,1,8.1,-73.86384582519531,40.76979446411133,1,N,-73.96227264404298,40.71165466308594,1,24.5,0.0,0.5,5.05,0.0,0.3,30.35
111,1,2015-01-26 12:41:15,2015-01-26 12:46:18,1,1.0,-73.96928405761719,40.76113510131836,1,N,-73.9725341796875,40.74954605102539,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
112,1,2015-01-26 12:41:15,2015-01-26 12:47:11,2,1.6,-74.00725555419923,40.72868347167969,1,N,-73.99505615234375,40.75000381469727,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
113,1,2015-01-26 12:41:16,2015-01-26 12:54:54,1,1.6,-73.981201171875,40.733184814453125,1,N,-73.97855377197266,40.74808883666992,1,10.0,0.0,0.5,1.0,0.0,0.3,11.8
114,1,2015-01-26 12:41:17,2015-01-26 13:00:18,1,3.2,-73.99229431152342,40.75383758544922,1,N,-73.99629974365233,40.74049758911133,1,14.5,0.0,0.5,3.05,0.0,0.3,18.35
115,1,2015-01-26 12:41:18,2015-01-26 12:46:41,1,1.0,-73.96748352050781,40.766010284423835,1,N,-73.96095275878906,40.777950286865234,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
116,1,2015-01-26 12:41:19,2015-01-26 12:56:36,1,2.2,-73.95759582519531,40.77452850341797,1,N,-73.98458862304686,40.76975631713867,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
117,1,2015-01-26 12:41:20,2015-01-26 12:47:38,1,0.7,-73.95232391357422,40.77704620361328,1,N,-73.96235656738281,40.77733612060546,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
118,1,2015-01-26 12:41:21,2015-01-26 13:07:25,1,4.2,-73.98628234863281,40.7468376159668,1,N,-73.94466400146483,40.79500579833984,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3
119,1,2015-01-26 12:41:21,2015-01-26 13:03:26,2,16.3,-73.9983901977539,40.761680603027344,3,N,-74.17723846435547,40.69504165649414,1,60.5,0.0,0.0,15.3,15.75,0.3,91.85
120,2,2015-01-07 14:58:06,2015-01-07 15:23:00,1,3.12,-73.96896362304686,40.76414489746094,1,N,-73.9929962158203,40.72700119018555,1,17.0,0.0,0.5,2.22,0.0,0.3,20.02
121,1,2015-01-15 10:26:13,2015-01-15 10:30:49,1,0.8,-73.97223663330078,40.7455940246582,1,N,-73.96466827392578,40.75601959228516,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
122,1,2015-01-15 10:26:14,2015-01-15 10:42:16,1,1.9,-73.9494857788086,40.772071838378906,1,N,-73.97072601318358,40.758392333984375,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3
123,1,2015-01-15 10:26:14,2015-01-15 10:51:03,1,2.6,-73.96176147460938,40.7642707824707,1,N,-73.98921966552734,40.7420654296875,1,16.0,0.0,0.5,3.35,0.0,0.3,20.15
124,1,2015-01-15 10:26:14,2015-01-15 10:38:13,1,0.8,-73.99343872070312,40.742000579833984,1,N,-73.9874496459961,40.75202178955078,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15
125,1,2015-01-15 10:26:14,2015-01-15 10:49:00,2,6.8,-73.9729766845703,40.76113510131836,1,N,-74.00971221923827,40.709564208984375,1,23.0,0.0,0.5,4.5,0.0,0.3,28.3
126,1,2015-01-15 10:26:15,2015-01-15 10:34:40,1,1.3,-73.94763946533203,40.77514266967773,1,N,-73.960693359375,40.76080703735352,1,7.5,0.0,0.5,1.0,0.0,0.3,9.3
